normal,abnormal
0.361052873,0.588718024
0.306643561,0.740821796
0.265469243,0.608624926
0.113046748,0.682889529
0.152201086,0.61199942
0.312800246,0.649779528
0.422705151,0.452608421
0.55493347,0.328973331
0.264775192,0.500005717
0.320587795,0.279939213
0.198893617,0.551849964
0.301814688,0.677337718
0.412399827,0.608186663
0.15241211,0.628916091
0.126097133,0.50107155
0.14306157,0.300875063
0.154454242,0.269567074
0.370201211,0.753273836
0.38645182,0.407574837
0.057765528,0.462414596
0.349465335,0.024581142
0.264959699,0.651946073
0.367712933,0.808802065
0.340536774,0.609166786
0.219850807,0.717709177
0.575286209,0.320843311
0.582216114,0.622985173
0.605769661,0.442569087
0.411957814,0.555359786
0.405420649,0.092653116
0.376588981,0.481016721
0.149229147,0.07604208
0.189195878,0.826514136
0.060638966,0.905167379
0.323534023,0.826596879
0.271745578,0.264811967
0.091218436,0.404843721
0.329091064,0.289845204
0.213290406,0.467932579
0.011977602,0.405374365
0.271745578,0.264811967
0.091218436,0.404843721
0.329091064,0.289845204
0.213290406,0.467932579
0.271745578,0.264811967
0.091218436,0.404843721
0.329091064,0.289845204
0.213290406,0.467932579
0.011977602,0.405374365
0.315885523,0.127961836
0.267629972,0.100600543
0.242897492,0.26671338
0.241710959,0.210272004
0.351525753,0.212459331
0.268401278,0.061105109
0.361043779,0.203649683
0.160699477,0.057787508
0.234525918,0.186498938
0.05491413,0.126619043
0.150658876,
0.193540127,
0.345990577,
0.095629263,
0.44614719,
0.143757456,
0.314081726,
0.090716957,
0.136206651,
0.220571308,
0.255480342,
0.131835329,
0.372659408,
0.467943198,
0.202247326,
0.301965236,
0.428874354,
0.467881268,
0.333390847,
0.305376936,
0.212725705,
0.358659701,
0.230555507,
0.202562649,
0.388432283,
0.163837221,
0.253303523,
0.407978129,
0.384843387,
0.259961241,
0.489810642,
0.434319289,
0.559458897,
0.439903408,
0.561132383,
0.536157357,
0.612274598,
0.479511802,
0.642587202,
0.598221526,
0.129281489,
0.174719097,
0.204284274,
0.324168963,
0.197297203,
0.146208065,
0.191073843,
0.222739565,
0.176052297,
0.302360622,
0.260502117,
0.124410247,
0.09786675,
0.203460204,
0.138505104,
0.171579435,
0.107512241,
0.166504185,
0.11430526,
0.174609343,
